Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
2,0,0,1,0,1,0,1,0,1,5659.7,0.053443
0,0,0,1,0,1,0,1,1,0,7162.5,0.034003
1,0,0,1,0,1,0,1,1,0,7177.7,0.033822
2,0,0,1,0,1,0,1,1,0,7162.9,0.033814
0,0,0,1,0,1,0,1,1,1,4987.9,0.056433
1,0,0,1,0,1,0,1,1,1,4968.2,0.061691
2,0,0,1,0,1,0,1,1,1,5823.4,0.061168
0,0,0,1,0,1,1,0,0,0,7100.2,0.03489
1,0,0,1,0,1,1,0,0,0,7109.0,0.034638
2,0,0,1,0,1,1,0,0,0,7034.0,0.034891
0,0,0,1,0,1,1,0,0,1,4538.0,0.058105
1,0,0,1,0,1,1,0,0,1,5661.8,0.057676
2,0,0,1,0,1,1,0,0,1,5097.1,0.056933
0,0,0,1,0,1,1,0,1,0,7231.8,0.033703
1,0,0,1,0,1,1,0,1,0,7177.3,0.033904
2,0,0,1,0,1,1,0,1,0,7180.2,0.03373
0,0,0,1,0,1,1,0,1,1,4374.9,0.065075
1,0,0,1,0,1,1,0,1,1,5277.4,0.059656
2,0,0,1,0,1,1,0,1,1,4371.3,0.061982
0,0,0,1,0,1,1,1,0,0,7037.1,0.034966
1,0,0,1,0,1,1,1,0,0,6999.1,0.03491
2,0,0,1,0,1,1,1,0,0,7111.1,0.034322
0,0,0,1,0,1,1,1,0,1,6348.5,0.048696
1,0,0,1,0,1,1,1,0,1,5502.7,0.051452
2,0,0,1,0,1,1,1,0,1,5698.6,0.052396
0,0,0,1,0,1,1,1,1,0,7214.1,0.033689
1,0,0,1,0,1,1,1,1,0,7164.6,0.033728
2,0,0,1,0,1,1,1,1,0,7171.4,0.033927
0,0,0,1,0,1,1,1,1,1,4031.5,0.06623
1,0,0,1,0,1,1,1,1,1,5796.2,0.057279
2,0,0,1,0,1,1,1,1,1,3821.9,0.067116
0,0,0,1,1,0,0,0,0,0,7004.7,0.035287
1,0,0,1,1,0,0,0,0,0,6914.8,0.035572
2,0,0,1,1,0,0,0,0,0,7014.9,0.034973
0,0,0,1,1,0,0,0,0,1,4883.0,0.05668
1,0,0,1,1,0,0,0,0,1,5746.3,0.055839
2,0,0,1,1,0,0,0,0,1,5299.1,0.055553
0,0,0,1,1,0,0,0,1,0,7181.6,0.033753
1,0,0,1,1,0,0,0,1,0,7144.8,0.033691
2,0,0,1,1,0,0,0,1,0,7179.6,0.033866
0,0,0,1,1,0,0,0,1,1,5518.0,0.052585
1,0,0,1,1,0,0,0,1,1,4232.1,0.061159
2,0,0,1,1,0,0,0,1,1,5767.7,0.051446
0,0,0,1,1,0,0,1,0,0,7018.8,0.034951
1,0,0,1,1,0,0,1,0,0,7006.7,0.034596
2,0,0,1,1,0,0,1,0,0,7037.7,0.035273
0,0,0,1,1,0,0,1,0,1,4478.9,0.059477
1,0,0,1,1,0,0,1,0,1,5729.7,0.054961
2,0,0,1,1,0,0,1,0,1,5082.5,0.057009
0,0,0,1,1,0,0,1,1,0,7144.8,0.034004
1,0,0,1,1,0,0,1,1,0,7148.4,0.034294
2,0,0,1,1,0,0,1,1,0,7086.8,0.034212
0,0,0,1,1,0,0,1,1,1,5530.1,0.051436
1,0,0,1,1,0,0,1,1,1,5288.2,0.051731
2,0,0,1,1,0,0,1,1,1,5281.6,0.052976
0,0,0,1,1,0,1,0,0,0,6956.1,0.035742
1,0,0,1,1,0,1,0,0,0,7029.5,0.034969
2,0,0,1,1,0,1,0,0,0,7059.2,0.034999
0,0,0,1,1,0,1,0,0,1,4509.1,0.057252
1,0,0,1,1,0,1,0,0,1,4537.3,0.058383
2,0,0,1,1,0,1,0,0,1,5962.9,0.054342
0,0,0,1,1,0,1,0,1,0,7151.6,0.033899
1,0,0,1,1,0,1,0,1,0,7144.2,0.034017
2,0,0,1,1,0,1,0,1,0,7150.5,0.033906
0,0,0,1,1,0,1,0,1,1,5646.9,0.059531
1,0,0,1,1,0,1,0,1,1,3776.4,0.068095
2,0,0,1,1,0,1,0,1,1,4159.1,0.066394
0,0,0,1,1,0,1,1,0,0,6964.8,0.035156
1,0,0,1,1,0,1,1,0,0,7056.1,0.035077
2,0,0,1,1,0,1,1,0,0,6991.8,0.034694
0,0,0,1,1,0,1,1,0,1,4950.7,0.052224
1,0,0,1,1,0,1,1,0,1,5314.7,0.050273
2,0,0,1,1,0,1,1,0,1,5614.4,0.050243
0,0,0,1,1,0,1,1,1,0,7129.7,0.034013
1,0,0,1,1,0,1,1,1,0,7180.3,0.033812
2,0,0,1,1,0,1,1,1,0,7144.5,0.033819
0,0,0,1,1,0,1,1,1,1,4250.6,0.065624
1,0,0,1,1,0,1,1,1,1,4499.5,0.063192
2,0,0,1,1,0,1,1,1,1,5542.5,0.062034
0,0,0,1,1,1,0,0,0,0,7058.4,0.03502
1,0,0,1,1,1,0,0,0,0,7106.9,0.034338
2,0,0,1,1,1,0,0,0,0,6987.7,0.035019
0,0,0,1,1,1,0,0,0,1,4950.6,0.055597
1,0,0,1,1,1,0,0,0,1,4415.8,0.057639
2,0,0,1,1,1,0,0,0,1,4865.1,0.059043
0,0,0,1,1,1,0,0,1,0,7171.0,0.034422
1,0,0,1,1,1,0,0,1,0,7204.8,0.03389
2,0,0,1,1,1,0,0,1,0,7177.7,0.033631
0,0,0,1,1,1,0,0,1,1,6293.9,0.048138
1,0,0,1,1,1,0,0,1,1,6536.7,0.045491
2,0,0,1,1,1,0,0,1,1,6275.7,0.047072
0,0,0,1,1,1,0,1,0,0,7065.7,0.03484
1,0,0,1,1,1,0,1,0,0,7062.8,0.034641
2,0,0,1,1,1,0,1,0,0,7055.9,0.034871
0,0,0,1,1,1,0,1,0,1,4612.3,0.055642
1,0,0,1,1,1,0,1,0,1,4376.8,0.05948
2,0,0,1,1,1,0,1,0,1,5430.7,0.055349
0,0,0,1,1,1,0,1,1,0,7178.5,0.033746
1,0,0,1,1,1,0,1,1,0,7189.9,0.033673
2,0,0,1,1,1,0,1,1,0,7166.3,0.033905
0,0,0,1,1,1,0,1,1,1,4398.8,0.065145
1,0,0,1,1,1,0,1,1,1,5527.8,0.063253
2,0,0,1,1,1,0,1,1,1,4025.4,0.064366
0,0,0,1,1,1,1,0,0,0,6908.5,0.037659
1,0,0,1,1,1,1,0,0,0,7032.2,0.037192
2,0,0,1,1,1,1,0,0,0,7013.9,0.036063
0,0,0,1,1,1,1,0,0,1,4744.5,0.057105
1,0,0,1,1,1,1,0,0,1,6587.8,0.051011
2,0,0,1,1,1,1,0,0,1,5124.1,0.054928
0,0,0,1,1,1,1,0,1,0,7229.8,0.033755
1,0,0,1,1,1,1,0,1,0,7193.4,0.033947
2,0,0,1,1,1,1,0,1,0,7155.4,0.033793
0,0,0,1,1,1,1,0,1,1,5548.9,0.050292
1,0,0,1,1,1,1,0,1,1,5514.5,0.053079
2,0,0,1,1,1,1,0,1,1,5462.2,0.050822
0,0,0,1,1,1,1,1,0,0,7012.0,0.038959
1,0,0,1,1,1,1,1,0,0,6968.2,0.034939
2,0,0,1,1,1,1,1,0,0,7046.6,0.035274
0,0,0,1,1,1,1,1,0,1,4682.7,0.059878
1,0,0,1,1,1,1,1,0,1,5693.7,0.054695
2,0,0,1,1,1,1,1,0,1,4519.9,0.056977
0,0,0,1,1,1,1,1,1,0,6925.4,0.038729
1,0,0,1,1,1,1,1,1,0,7010.0,0.039005
2,0,0,1,1,1,1,1,1,0,5804.7,0.044542
0,0,0,1,1,1,1,1,1,1,5582.3,0.05329
1,0,0,1,1,1,1,1,1,1,4412.3,0.056884
2,0,0,1,1,1,1,1,1,1,5965.1,0.053203
0,0,1,0,0,0,0,0,0,0,7034.6,0.03461
1,0,1,0,0,0,0,0,0,0,6967.6,0.035379
2,0,1,0,0,0,0,0,0,0,6922.0,0.035641
0,0,1,0,0,0,0,0,0,1,5801.0,0.04377
1,0,1,0,0,0,0,0,0,1,5856.9,0.044086
2,0,1,0,0,0,0,0,0,1,5992.8,0.049724
0,0,1,0,0,0,0,0,1,0,7007.9,0.035168
1,0,1,0,0,0,0,0,1,0,7003.0,0.035144
2,0,1,0,0,0,0,0,1,0,6981.8,0.034884
0,0,1,0,0,0,0,0,1,1,5063.8,0.054837
1,0,1,0,0,0,0,0,1,1,4316.8,0.058941
2,0,1,0,0,0,0,0,1,1,4460.4,0.057543
0,0,1,0,0,0,0,1,0,0,7040.8,0.034899
1,0,1,0,0,0,0,1,0,0,7029.9,0.03523
2,0,1,0,0,0,0,1,0,0,6972.7,0.035036
0,0,1,0,0,0,0,1,0,1,5083.0,0.055914
1,0,1,0,0,0,0,1,0,1,5066.1,0.055759
2,0,1,0,0,0,0,1,0,1,5353.9,0.055448
0,0,1,0,0,0,0,1,1,0,7119.3,0.034352
1,0,1,0,0,0,0,1,1,0,7084.7,0.034443
2,0,1,0,0,0,0,1,1,0,7150.9,0.034027
0,0,1,0,0,0,0,1,1,1,5306.7,0.049689
1,0,1,0,0,0,0,1,1,1,4945.3,0.053076
2,0,1,0,0,0,0,1,1,1,5752.2,0.049907
0,0,1,0,0,0,1,0,0,0,6972.3,0.035262
1,0,1,0,0,0,1,0,0,0,6920.8,0.035015
2,0,1,0,0,0,1,0,0,0,6999.5,0.039687
0,0,1,0,0,0,1,0,0,1,4649.6,0.057816
1,0,1,0,0,0,1,0,0,1,5690.1,0.053521
2,0,1,0,0,0,1,0,0,1,5534.0,0.0577
0,0,1,0,0,0,1,0,1,0,7116.0,0.03411
1,0,1,0,0,0,1,0,1,0,7114.9,0.034306
2,0,1,0,0,0,1,0,1,0,7187.8,0.03406
0,0,1,0,0,0,1,0,1,1,5633.8,0.061611
1,0,1,0,0,0,1,0,1,1,4938.6,0.064499
2,0,1,0,0,0,1,0,1,1,4143.4,0.068596
0,0,1,0,0,0,1,1,0,0,6972.4,0.035336
1,0,1,0,0,0,1,1,0,0,6969.0,0.034975
2,0,1,0,0,0,1,1,0,0,7022.3,0.03514
0,0,1,0,0,0,1,1,0,1,5119.9,0.052491
1,0,1,0,0,0,1,1,0,1,4255.9,0.05978
2,0,1,0,0,0,1,1,0,1,4695.4,0.054798
0,0,1,0,0,0,1,1,1,0,7112.6,0.034091
1,0,1,0,0,0,1,1,1,0,7129.3,0.03387
2,0,1,0,0,0,1,1,1,0,7154.1,0.034297
0,0,1,0,0,0,1,1,1,1,4927.9,0.061766
1,0,1,0,0,0,1,1,1,1,4629.8,0.060097
2,0,1,0,0,0,1,1,1,1,5565.1,0.062359
0,0,1,0,0,1,0,0,0,0,7030.5,0.034686
1,0,1,0,0,1,0,0,0,0,7031.7,0.034592
2,0,1,0,0,1,0,0,0,0,6997.5,0.035284
0,0,1,0,0,1,0,0,0,1,5678.7,0.05423
1,0,1,0,0,1,0,0,0,1,4701.5,0.058533
2,0,1,0,0,1,0,0,0,1,5344.7,0.055357
0,0,1,0,0,1,0,0,1,0,7223.3,0.033583
1,0,1,0,0,1,0,0,1,0,7220.5,0.03351
2,0,1,0,0,1,0,0,1,0,7238.7,0.033654
0,0,1,0,0,1,0,0,1,1,5454.8,0.051434
1,0,1,0,0,1,0,0,1,1,5385.5,0.050116
2,0,1,0,0,1,0,0,1,1,5399.5,0.05007
0,0,1,0,0,1,0,1,0,0,7122.1,0.034586
1,0,1,0,0,1,0,1,0,0,7046.4,0.034822
2,0,1,0,0,1,0,1,0,0,7013.9,0.034818
0,0,1,0,0,1,0,1,0,1,5694.2,0.05569
1,0,1,0,0,1,0,1,0,1,4593.2,0.057486
2,0,1,0,0,1,0,1,0,1,5673.9,0.057544
0,0,1,0,0,1,0,1,1,0,7181.1,0.03384
1,0,1,0,0,1,0,1,1,0,7194.4,0.033995
2,0,1,0,0,1,0,1,1,0,7194.9,0.033926
0,0,1,0,0,1,0,1,1,1,6062.4,0.049367
1,0,1,0,0,1,0,1,1,1,5984.1,0.051315
2,0,1,0,0,1,0,1,1,1,5095.9,0.052407
