Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
0,0,0,1,0,0,1,0,0,0,6996.5,0.038773
1,0,0,1,0,0,1,0,0,0,7023.1,0.035001
2,0,0,1,0,0,1,0,0,0,7004.0,0.035088
0,0,0,1,0,0,1,0,0,1,4514.8,0.058628
1,0,0,1,0,0,1,0,0,1,5645.2,0.057382
2,0,0,1,0,0,1,0,0,1,4261.4,0.058519
0,0,0,1,0,0,1,0,1,0,7127.6,0.033877
1,0,0,1,0,0,1,0,1,0,7176.6,0.033761
2,0,0,1,0,0,1,0,1,0,7167.1,0.034114
0,0,0,1,0,0,1,0,1,1,4923.2,0.063732
1,0,0,1,0,0,1,0,1,1,5986.9,0.060849
2,0,0,1,0,0,1,0,1,1,4074.3,0.06572
0,0,0,1,0,0,1,1,0,0,7114.3,0.034824
1,0,0,1,0,0,1,1,0,0,7014.3,0.03469
2,0,0,1,0,0,1,1,0,0,7077.9,0.035005
0,0,0,1,0,0,1,1,0,1,5335.8,0.053709
1,0,0,1,0,0,1,1,0,1,4940.6,0.056511
2,0,0,1,0,0,1,1,0,1,6018.7,0.046502
0,0,0,1,0,0,1,1,1,0,7177.1,0.033898
1,0,0,1,0,0,1,1,1,0,7175.7,0.033729
2,0,0,1,0,0,1,1,1,0,7202.5,0.033679
0,0,0,1,0,0,1,1,1,1,5201.1,0.061749
1,0,0,1,0,0,1,1,1,1,4045.4,0.065484
2,0,0,1,0,0,1,1,1,1,4721.4,0.061108
0,0,0,1,0,1,0,0,0,0,6987.7,0.034567
1,0,0,1,0,1,0,0,0,0,7048.3,0.034804
2,0,0,1,0,1,0,0,0,0,6991.0,0.035005
0,0,0,1,0,1,0,0,0,1,5138.7,0.05657
1,0,0,1,0,1,0,0,0,1,4889.9,0.055309
2,0,0,1,0,1,0,0,0,1,4681.6,0.057868
0,0,0,1,0,1,0,0,1,0,7181.1,0.033738
1,0,0,1,0,1,0,0,1,0,7160.3,0.033979
2,0,0,1,0,1,0,0,1,0,7143.1,0.034109
0,0,0,1,0,1,0,0,1,1,5574.3,0.052499
1,0,0,1,0,1,0,0,1,1,4808.7,0.053056
2,0,0,1,0,1,0,0,1,1,5631.3,0.050246
0,0,0,1,0,1,0,1,0,0,7028.4,0.034924
1,0,0,1,0,1,0,1,0,0,6968.2,0.035202
2,0,0,1,0,1,0,1,0,0,7001.2,0.034628
0,0,0,1,0,1,0,1,0,1,4633.4,0.057385
1,0,0,1,0,1,0,1,0,1,4841.2,0.055378
2,0,0,1,0,1,0,1,0,1,4641.1,0.057186
0,0,0,1,0,1,0,1,1,0,7163.5,0.034013
1,0,0,1,0,1,0,1,1,0,7135.6,0.033869
2,0,0,1,0,1,0,1,1,0,7155.6,0.033979
0,0,0,1,0,1,0,1,1,1,5409.3,0.057111
1,0,0,1,0,1,0,1,1,1,3992.8,0.064365
2,0,0,1,0,1,0,1,1,1,5398.5,0.062466
0,0,0,1,0,1,1,0,0,0,7027.6,0.034893
1,0,0,1,0,1,1,0,0,0,7018.1,0.034497
2,0,0,1,0,1,1,0,0,0,7010.8,0.03526
0,0,0,1,0,1,1,0,0,1,4240.8,0.058457
1,0,0,1,0,1,1,0,0,1,4296.1,0.05942
2,0,0,1,0,1,1,0,0,1,4904.9,0.057961
0,0,0,1,0,1,1,0,1,0,7160.1,0.034036
1,0,0,1,0,1,1,0,1,0,7139.2,0.033924
2,0,0,1,0,1,1,0,1,0,7150.3,0.033803
0,0,0,1,0,1,1,0,1,1,4108.6,0.066074
1,0,0,1,0,1,1,0,1,1,4222.9,0.0644
2,0,0,1,0,1,1,0,1,1,4306.5,0.063061
0,0,0,1,0,1,1,1,0,0,7024.1,0.035386
1,0,0,1,0,1,1,1,0,0,7095.4,0.034793
2,0,0,1,0,1,1,1,0,0,7005.1,0.035447
0,0,0,1,0,1,1,1,0,1,5511.3,0.050621
1,0,0,1,0,1,1,1,0,1,6331.3,0.046735
2,0,0,1,0,1,1,1,0,1,5340.7,0.051038
0,0,0,1,0,1,1,1,1,0,7150.7,0.034109
1,0,0,1,0,1,1,1,1,0,7163.9,0.033778
2,0,0,1,0,1,1,1,1,0,7142.4,0.033992
0,0,0,1,0,1,1,1,1,1,5727.8,0.063758
1,0,0,1,0,1,1,1,1,1,4572.9,0.061291
2,0,0,1,0,1,1,1,1,1,4570.9,0.062471
0,0,0,1,1,0,0,0,0,0,6951.1,0.035103
1,0,0,1,1,0,0,0,0,0,6991.6,0.035164
2,0,0,1,1,0,0,0,0,0,7049.1,0.034859
0,0,0,1,1,0,0,0,0,1,5313.8,0.054532
1,0,0,1,1,0,0,0,0,1,4609.3,0.054779
2,0,0,1,1,0,0,0,0,1,5409.9,0.056114
0,0,0,1,1,0,0,0,1,0,7187.4,0.033831
1,0,0,1,1,0,0,0,1,0,7213.1,0.03376
2,0,0,1,1,0,0,0,1,0,7201.1,0.033745
0,0,0,1,1,0,0,0,1,1,5568.1,0.055927
1,0,0,1,1,0,0,0,1,1,4213.8,0.060295
2,0,0,1,1,0,0,0,1,1,5068.8,0.055124
0,0,0,1,1,0,0,1,0,0,7090.1,0.034583
1,0,0,1,1,0,0,1,0,0,7042.1,0.03488
2,0,0,1,1,0,0,1,0,0,7069.3,0.03547
0,0,0,1,1,0,0,1,0,1,4461.0,0.057749
1,0,0,1,1,0,0,1,0,1,4732.7,0.059409
2,0,0,1,1,0,0,1,0,1,4841.4,0.055717
0,0,0,1,1,0,0,1,1,0,7167.9,0.034006
1,0,0,1,1,0,0,1,1,0,7172.6,0.03394
2,0,0,1,1,0,0,1,1,0,7177.5,0.033766
0,0,0,1,1,0,0,1,1,1,6020.2,0.048384
1,0,0,1,1,0,0,1,1,1,5051.2,0.050964
2,0,0,1,1,0,0,1,1,1,5594.4,0.051521
0,0,0,1,1,0,1,0,0,0,7025.7,0.035158
1,0,0,1,1,0,1,0,0,0,7038.9,0.034602
2,0,0,1,1,0,1,0,0,0,6994.6,0.035222
0,0,0,1,1,0,1,0,0,1,4569.1,0.057923
1,0,0,1,1,0,1,0,0,1,4546.7,0.056961
2,0,0,1,1,0,1,0,0,1,4748.8,0.056654
0,0,0,1,1,0,1,0,1,0,7179.8,0.033854
1,0,0,1,1,0,1,0,1,0,7148.4,0.033853
2,0,0,1,1,0,1,0,1,0,7204.2,0.033635
0,0,0,1,1,0,1,0,1,1,5684.5,0.059915
1,0,0,1,1,0,1,0,1,1,5876.7,0.060932
2,0,0,1,1,0,1,0,1,1,4639.0,0.065956
0,0,0,1,1,0,1,1,0,0,7010.6,0.035096
1,0,0,1,1,0,1,1,0,0,7123.6,0.034415
2,0,0,1,1,0,1,1,0,0,7090.7,0.034777
0,0,0,1,1,0,1,1,0,1,5512.3,0.049887
1,0,0,1,1,0,1,1,0,1,4713.5,0.053024
2,0,0,1,1,0,1,1,0,1,5261.0,0.051028
0,0,0,1,1,0,1,1,1,0,7175.8,0.033686
1,0,0,1,1,0,1,1,1,0,7176.8,0.033662
2,0,0,1,1,0,1,1,1,0,7159.0,0.033986
0,0,0,1,1,0,1,1,1,1,5043.7,0.061994
1,0,0,1,1,0,1,1,1,1,5418.2,0.059887
2,0,0,1,1,0,1,1,1,1,4810.5,0.064162
0,0,0,1,1,1,0,0,0,0,6960.5,0.035087
1,0,0,1,1,1,0,0,0,0,7014.0,0.035123
2,0,0,1,1,1,0,0,0,0,7070.4,0.035068
0,0,0,1,1,1,0,0,0,1,5332.0,0.055363
1,0,0,1,1,1,0,0,0,1,5899.3,0.054175
2,0,0,1,1,1,0,0,0,1,4829.1,0.057568
0,0,0,1,1,1,0,0,1,0,7173.8,0.03393
1,0,0,1,1,1,0,0,1,0,7167.2,0.033663
2,0,0,1,1,1,0,0,1,0,7175.9,0.033847
0,0,0,1,1,1,0,0,1,1,5571.9,0.051516
1,0,0,1,1,1,0,0,1,1,5927.7,0.053476
