Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
0,0,0,1,0,0,0,1,0,0,6803.6,0.024063
1,0,0,1,0,0,0,1,0,0,6798.4,0.02389
2,0,0,1,0,0,0,1,0,0,6841.7,0.023946
0,0,0,1,0,0,0,1,0,1,4724.5,0.040002
1,0,0,1,0,0,0,1,0,1,5132.3,0.039212
2,0,0,1,0,0,0,1,0,1,4762.1,0.037933
0,0,0,1,0,0,0,1,1,0,6969.2,0.023382
1,0,0,1,0,0,0,1,1,0,6940.5,0.023376
2,0,0,1,0,0,0,1,1,0,6941.4,0.023166
0,0,0,1,0,0,0,1,1,1,5546.3,0.033915
1,0,0,1,0,0,0,1,1,1,5591.8,0.033103
2,0,0,1,0,0,0,1,1,1,5632.0,0.034375
0,0,0,1,0,0,1,0,0,0,6753.4,0.026591
1,0,0,1,0,0,1,0,0,0,6767.1,0.023971
2,0,0,1,0,0,1,0,0,0,6768.2,0.024022
0,0,0,1,0,0,1,0,0,1,4283.0,0.041232
1,0,0,1,0,0,1,0,0,1,5801.7,0.038245
2,0,0,1,0,0,1,0,0,1,4550.3,0.040187
0,0,0,1,0,0,1,0,1,0,6961.4,0.023418
1,0,0,1,0,0,1,0,1,0,6975.7,0.023305
2,0,0,1,0,0,1,0,1,0,6935.7,0.023365
0,0,0,1,0,0,1,0,1,1,3852.0,0.046002
1,0,0,1,0,0,1,0,1,1,3981.7,0.04519
2,0,0,1,0,0,1,0,1,1,6236.6,0.042557
0,0,0,1,0,0,1,1,0,0,6864.0,0.023952
1,0,0,1,0,0,1,1,0,0,6791.8,0.024232
2,0,0,1,0,0,1,1,0,0,6821.0,0.023754
0,0,0,1,0,0,1,1,0,1,4918.5,0.038098
1,0,0,1,0,0,1,1,0,1,5183.9,0.037589
2,0,0,1,0,0,1,1,0,1,6281.7,0.034777
0,0,0,1,0,0,1,1,1,0,6971.3,0.023279
1,0,0,1,0,0,1,1,1,0,6971.1,0.023425
